Tier,Technology,Architecture,Value
S2:3.5,Java,MSx6,0.26425
S2:3.5,Java,MSx6,0.26406
S2:3.5,Java,MSx6,0.2638
S2:3.5,Java,MSx6,0.26356
S2:3.5,Java,MSx6,0.26379
S2:3.5,Java,MSx6,0.26465
S2:3.5,Java,MSx6,0.26442
S2:3.5,Java,MSx6,0.26437
S2:3.5,Java,MSx6,0.2642
S2:3.5,Java,MSx6,0.26426
S2:3.5,Java,MSx6,0.26388
S2:3.5,Java,MSx6,0.26381
S4:7,Java,MSx6,0.28479
S4:7,Java,MSx6,0.28482
S4:7,Java,MSx6,0.28463
S4:7,Java,MSx6,0.2847
S4:7,Java,MSx6,0.28491
S4:7,Java,MSx6,0.28483
S4:7,Java,MSx6,0.28499
S4:7,Java,MSx6,0.28524
S4:7,Java,MSx6,0.28533
S4:7,Java,MSx6,0.28544
S4:7,Java,MSx6,0.28549
S4:7,Java,MSx6,0.28528
S4:7,Java,MSx6,0.28549
S4:7,Java,MSx6,0.28524
S4:7,Java,MSx6,0.28545
S4:7,Java,MSx6,0.28569
S4:7,Java,MSx6,0.28578
S4:7,Java,MSx6,0.28538
S4:7,Java,MSx6,0.28549
S4:7,Java,MSx6,0.2858
S2:3.5,.NET,MSx6,0.24317
S2:3.5,.NET,MSx6,0.24341
S2:3.5,.NET,MSx6,0.24342
S2:3.5,.NET,MSx6,0.24216
S2:3.5,.NET,MSx6,0.24243
S2:3.5,.NET,MSx6,0.24263
S2:3.5,.NET,MSx6,0.24254
S2:3.5,.NET,MSx6,0.24219
S2:3.5,.NET,MSx6,0.24246
S2:3.5,.NET,MSx6,0.24382
S2:3.5,.NET,MSx6,0.24394
S2:3.5,.NET,MSx6,0.24367
S2:3.5,.NET,MSx6,0.24379
S2:3.5,.NET,MSx6,0.24265
S2:3.5,.NET,MSx6,0.24206
S2:3.5,.NET,MSx6,0.24177
S2:3.5,.NET,MSx6,0.24179
S2:3.5,.NET,MSx6,0.24125
S2:3.5,.NET,MSx6,0.24129
S2:3.5,.NET,MSx6,0.2412
S4:7,.NET,MSx6,0.24203
S4:7,.NET,MSx6,0.24203
S4:7,.NET,MSx6,0.24222
S4:7,.NET,MSx6,0.24232
S4:7,.NET,MSx6,0.24213
S4:7,.NET,MSx6,0.242
S4:7,.NET,MSx6,0.24173
S4:7,.NET,MSx6,0.24188
S4:7,.NET,MSx6,0.24206
S4:7,.NET,MSx6,0.24202
S4:7,.NET,MSx6,0.24181
S4:7,.NET,MSx6,0.24155
S4:7,.NET,MSx6,0.24113
S4:7,.NET,MSx6,0.24141
S4:7,.NET,MSx6,0.24141
S4:7,.NET,MSx6,0.24161
S4:7,.NET,MSx6,0.24176
S4:7,.NET,MSx6,0.24158
S4:7,.NET,MSx6,0.24141
S4:7,.NET,MSx6,0.24122
B/S1:1.75,.NET,MSx10,0.14358
B/S1:1.75,.NET,MSx10,0.14275
B/S1:1.75,.NET,MSx10,0.14228
B/S1:1.75,.NET,MSx10,0.14167
B/S1:1.75,.NET,MSx10,0.14176
B/S1:1.75,.NET,MSx10,0.14173
B/S1:1.75,.NET,MSx10,0.14146
B/S1:1.75,.NET,MSx10,0.14183
B/S1:1.75,.NET,MSx10,0.14171
B/S1:1.75,.NET,MSx10,0.14121
B/S1:1.75,.NET,MSx10,0.14167
B/S1:1.75,.NET,MSx10,0.14171
B/S1:1.75,.NET,MSx10,0.1414
