Tier,Technology,Architecture,Value
S4:7,Java,MSx6,3.81036
S4:7,Java,MSx6,3.81039
S4:7,Java,MSx6,3.81078
S4:7,Java,MSx6,3.81157
S4:7,Java,MSx6,3.81162
S4:7,Java,MSx6,3.83601
S4:7,Java,MSx6,3.83602
S4:7,Java,MSx6,3.83451
S4:7,Java,MSx6,3.83452
S4:7,Java,MSx6,3.83455
S4:7,Java,MSx6,3.8346
S4:7,Java,MSx6,3.83464
S4:7,Java,MSx6,3.83463
S4:7,Java,MSx6,3.83341
S4:7,Java,MSx6,3.83351
S2:3.5,.NET,MSx6,3.82579
S2:3.5,.NET,MSx6,3.82636
S2:3.5,.NET,MSx6,3.8263
S2:3.5,.NET,MSx6,3.82621
S2:3.5,.NET,MSx6,3.82615
S2:3.5,.NET,MSx6,3.82607
S2:3.5,.NET,MSx6,3.82596
S2:3.5,.NET,MSx6,3.82589
S2:3.5,.NET,MSx6,3.8258
S2:3.5,.NET,MSx6,3.82574
S2:3.5,.NET,MSx6,3.82563
S2:3.5,.NET,MSx6,3.82557
S2:3.5,.NET,MSx6,3.82551
S2:3.5,.NET,MSx6,3.82542
S2:3.5,.NET,MSx6,3.82536
S2:3.5,.NET,MSx6,3.82531
S2:3.5,.NET,MSx6,3.82523
S2:3.5,.NET,MSx6,3.82528
S2:3.5,.NET,MSx6,3.82516
S2:3.5,.NET,MSx6,3.82462
S4:7,.NET,MSx6,3.89693
S4:7,.NET,MSx6,3.89927
S4:7,.NET,MSx6,3.89933
S4:7,.NET,MSx6,3.89937
S4:7,.NET,MSx6,3.89938
S4:7,.NET,MSx6,3.89772
S4:7,.NET,MSx6,3.8978
S4:7,.NET,MSx6,3.89783
S4:7,.NET,MSx6,3.89762
S4:7,.NET,MSx6,3.89763
S4:7,.NET,MSx6,3.8976
S4:7,.NET,MSx6,3.89763
S4:7,.NET,MSx6,3.89768
S4:7,.NET,MSx6,3.89771
S4:7,.NET,MSx6,3.89771
S4:7,.NET,MSx6,3.89771
S4:7,.NET,MSx6,3.89772
S4:7,.NET,MSx6,3.89961
S4:7,.NET,MSx6,3.89949
S4:7,.NET,MSx6,3.89947
B/S1:1.75,.NET,MSx10,3.78182
B/S1:1.75,.NET,MSx10,3.78401
B/S1:1.75,.NET,MSx10,3.78401
B/S1:1.75,.NET,MSx10,3.78402
B/S1:1.75,.NET,MSx10,3.78404
B/S1:1.75,.NET,MSx10,3.78402
B/S1:1.75,.NET,MSx10,3.78407
B/S1:1.75,.NET,MSx10,3.78404
B/S1:1.75,.NET,MSx10,3.78405
B/S1:1.75,.NET,MSx10,3.78356
B/S1:1.75,.NET,MSx10,3.78356
B/S1:1.75,.NET,MSx10,3.78236
B/S1:1.75,.NET,MSx10,3.78273
B/S1:1.75,.NET,MSx10,3.78266
B/S1:1.75,.NET,MSx10,3.78263
B/S1:1.75,.NET,MSx10,3.78255
B/S1:1.75,.NET,MSx10,3.78425
B/S1:1.75,.NET,MSx10,3.78418
B/S1:1.75,.NET,MSx10,3.78408
B/S1:1.75,.NET,MSx10,3.78382
B/S1:1.75,Java,MSx10,3.31578
B/S1:1.75,Java,MSx10,3.3176
B/S1:1.75,Java,MSx10,3.31386
B/S1:1.75,Java,MSx10,3.3139
B/S1:1.75,Java,MSx10,3.31387
B/S1:1.75,Java,MSx10,3.31384
B/S1:1.75,Java,MSx10,3.31374
B/S1:1.75,Java,MSx10,3.3138
B/S1:1.75,Java,MSx10,3.31364
B/S1:1.75,Java,MSx10,3.31372
B/S1:1.75,Java,MSx10,3.31365
B/S1:1.75,Java,MSx10,3.31363
B/S1:1.75,Java,MSx10,3.31352
B/S1:1.75,Java,MSx10,3.31347
B/S1:1.75,Java,MSx10,3.31342
B/S1:1.75,Java,MSx10,3.31216
B/S1:1.75,Java,MSx10,3.31361
B/S1:1.75,Java,MSx10,3.31373
B/S1:1.75,Java,MSx10,3.31509
B/S1:1.75,Java,MSx10,3.31505
